               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1347,              2.7156,              1.3779,             0.40331,             0.82487,             0.47872,             0.38759,             0.74367,               1.049,              1.1884,            0.070053,           0.0033274,           0.0033274
                   1,             0.86882,              1.2612,              1.1708,             0.45109,             0.82552,             0.59463,             0.50209,             0.66807,             0.98391,              1.1094,            0.039921,           0.0065289,           0.0065289
                   2,             0.83772,               1.132,              1.1325,             0.50586,             0.80895,             0.65186,             0.54222,             0.68475,             0.90295,              1.1273,           0.0096575,           0.0095983,           0.0095983
                   3,             0.81691,              1.0567,              1.1004,             0.54695,             0.77419,             0.69138,             0.57729,             0.66927,             0.85592,              1.1161,            0.009406,            0.009406,            0.009406
                   4,             0.79057,              1.0009,              1.0743,              0.5833,             0.75353,             0.71082,             0.59962,             0.63209,             0.80447,              1.0761,            0.009406,            0.009406,            0.009406
                   5,             0.77742,             0.96863,              1.0682,             0.50956,             0.82339,             0.71462,             0.60319,             0.64637,             0.89515,              1.0813,            0.009208,            0.009208,            0.009208
                   6,             0.76536,             0.93577,              1.0596,             0.53333,             0.82783,             0.73648,             0.61719,             0.65163,             0.88013,              1.0919,             0.00901,             0.00901,             0.00901
                   7,             0.75943,             0.91199,              1.0593,             0.65143,             0.77935,             0.79052,             0.67255,             0.61742,             0.72291,              1.0613,            0.008812,            0.008812,            0.008812
                   8,             0.74878,             0.88237,              1.0498,             0.66597,              0.7995,             0.81336,              0.6865,             0.62917,             0.72667,               1.068,            0.008614,            0.008614,            0.008614
                   9,             0.74047,             0.85865,              1.0463,             0.74423,             0.79213,              0.8394,             0.71428,             0.59781,             0.64865,              1.0484,            0.008416,            0.008416,            0.008416
                  10,             0.72522,             0.83086,                1.04,             0.72946,             0.81807,              0.8513,             0.72569,               0.597,             0.63766,              1.0459,            0.008218,            0.008218,            0.008218
                  11,             0.72527,             0.81204,              1.0349,             0.75991,             0.83213,             0.87164,             0.74048,             0.61049,             0.59399,              1.0577,             0.00802,             0.00802,             0.00802
                  12,              0.7189,             0.78469,               1.034,             0.77947,             0.83154,             0.87557,             0.74835,             0.58931,             0.57415,              1.0427,            0.007822,            0.007822,            0.007822
                  13,             0.71272,             0.75653,              1.0309,             0.79427,             0.85185,             0.89816,             0.76488,             0.60097,             0.54988,              1.0448,            0.007624,            0.007624,            0.007624
